523,14,5213,5020,01,"(52.238389, 20.949914)",2020-12-03 13:00:30,
705,65,5969,1127,01,"(52.31866, 21.01883)",2020-12-03 13:00:20,
705,65,5969,1127,02,"(52.318811, 21.01996)",2020-12-03 13:00:20,
521,2,7315,4120,01,"(52.207347, 20.968261)",2020-12-03 13:00:41,
523,3,8438,2112,01,"(52.250229, 21.087528)",2020-12-03 12:59:49,
523,3,8438,2112,02,"(52.250082, 21.089155)",2020-12-03 12:59:49,
519,6,8560,7006,05,"(52.218744, 21.015268)",2020-12-03 13:00:25,
519,6,8560,7006,08,"(52.218088, 21.015484)",2020-12-03 13:00:25,
704,2,8836,2312,01,"(52.222381, 21.347918)",2020-12-03 13:00:44,
704,1,8838,2008,23,"(52.24472, 21.08638)",2020-12-03 13:00:43,
522,1,8896,3027,01,"(52.200887, 21.036024)",2020-12-03 13:00:34,
520,7,9935,2062,01,"(52.238333, 21.14761)",2020-12-03 13:00:44,
311,2,1004,2415,01,"(52.232743, 21.083509)",2020-12-03 13:00:42,
284,1,2008,5074,04,"(52.247392, 20.925104)",2020-12-03 13:00:42,
314,3,9074,1096,01,"(52.315861, 20.999731)",2020-12-03 13:00:45,
L11,1,14421,1841,01,"(52.441443, 20.863402)",2020-12-03 13:00:48,
L11,1,14421,1841,81,"(52.441442, 20.863401)",2020-12-03 13:00:48,
L11,51,14432,1370,01,"(52.39509, 20.937827)",2020-12-03 13:00:45,
L11,51,14432,1370,02,"(52.394744, 20.937806)",2020-12-03 13:00:45,
L17,1,36444,3894,03,"(51.940214, 20.956547)",2020-12-03 13:00:49,
L41,1,14429,1188,02,"(52.378474, 20.915814)",2020-12-03 13:00:50.500000,
L31,1,14437,1271,01,"(52.424249, 21.033747)",2020-12-03 13:00:45,
L31,1,14437,1271,02,"(52.425258, 21.033221)",2020-12-03 13:00:45,
L40,1,17453,1238,01,"(52.32615, 21.107515)",2020-12-03 13:00:49,
L43,1,17462,1344,01,"(52.308077, 21.155363)",2020-12-03 13:00:44.500000,
L35,1,17466,1746,02,"(52.350578, 21.254109)",2020-12-03 13:00:45,
213,2,1009,2146,04,"(52.22558, 21.09296)",2020-12-03 13:00:40,
213,2,1009,2149,01,"(52.22709, 21.0934)",2020-12-03 13:00:40,
200,1,1063,3232,02,"(52.193664, 21.014868)",2020-12-03 13:00:43,
200,2,1071,3184,02,"(52.089018, 21.121706)",2020-12-03 13:00:42,
218,2,1213,3115,01,"(52.189009, 21.012806)",2020-12-03 13:00:41,
218,2,1213,3115,02,"(52.189101, 21.012771)",2020-12-03 13:00:41,
218,4,1215,3412,02,"(52.183307, 20.995505)",2020-12-03 13:00:41,
202,3,1425,2110,01,"(52.24842, 21.096958)",2020-12-03 13:00:41,
211,2,9091,1366,03,"(52.349845, 20.945642)",2020-12-03 13:00:42,
203,2,9219,6026,05,"(52.280204, 20.923109)",2020-12-03 13:00:40,
207,1,9221,4217,05,"(52.194848, 20.885267)",2020-12-03 13:00:43,
211,1,9243,1421,02,"(52.342085, 20.942541)",2020-12-03 13:00:40,
212,5,9692,1178,02,"(52.279724, 21.055865)",2020-12-03 13:00:41,
210,3,9946,6123,02,"(52.290785, 20.825902)",2020-12-03 13:00:42,
222,53,1916,3006,04,"(52.194599, 21.023082)",2020-12-03 13:00:41,
255,2,4242,5042,02,"(52.228829, 20.968369)",2020-12-03 13:00:41,
240,4,4404,1179,01,"(52.302958, 21.059109)",2020-12-03 13:00:41,
245,2,5402,1059,01,"(52.282864, 21.071784)",2020-12-03 13:00:11,
245,2,5402,1059,02,"(52.284455, 21.07354)",2020-12-03 13:00:11,
250,2,744,6053,01,"(52.305383, 20.884789)",2020-12-03 13:00:39,
250,2,744,6053,02,"(52.305359, 20.88466)",2020-12-03 13:00:39,
225,3,9076,2075,03,"(52.258913, 21.128278)",2020-12-03 13:00:41,
225,3,9076,2075,04,"(52.258781, 21.128516)",2020-12-03 13:00:41,
264,1,9222,3297,01,"(52.12929, 21.145416)",2020-12-03 13:00:43,
256,5,9347,1144,01,"(52.27815, 21.044071)",2020-12-03 13:00:40,
220,1,9505,4015,11,"(52.175378, 20.943919)",2020-12-03 13:00:42,
220,1,9505,4015,17,"(52.175146, 20.944026)",2020-12-03 13:00:42,
220,3,9539,5054,01,"(52.255618, 20.897939)",2020-12-03 13:00:42,
168,2,1205,3105,01,"(52.208816, 21.01557)",2020-12-03 13:00:42,
166,1,1206,3122,03,"(52.154719, 21.05084)",2020-12-03 12:59:32,
166,1,1206,3207,02,"(52.153206, 21.055583)",2020-12-03 12:59:32,
173,10,1807,2852,01,"(52.238033, 21.257188)",2020-12-03 13:00:43,
168,3,1917,2250,02,"(52.232367, 21.096466)",2020-12-03 13:00:43,
167,6,2043,4154,01,"(52.213619, 20.969127)",2020-12-03 13:00:41,
171,3,2222,5061,02,"(52.24281, 20.912633)",2020-12-03 13:00:42,
169,5,5989,1066,02,"(52.257882, 21.034661)",2020-12-03 13:00:42,
172,63,8103,3326,01,"(52.19732, 20.989388)",2020-12-03 13:00:41,
172,8,8116,4109,02,"(52.202292, 20.97393)",2020-12-03 13:00:40,
172,1,8149,3064,01,"(52.185968, 21.064485)",2020-12-03 13:00:38,
167,7,8500,3105,01,"(52.208816, 21.01557)",2020-12-03 13:00:15,
167,1,8551,3105,01,"(52.208816, 21.01557)",2020-12-03 13:00:32,
165,3,8809,3271,04,"(52.158016, 20.992073)",2020-12-03 13:00:42,
171,6,8828,7077,01,"(52.225829, 21.0411)",2020-12-03 12:59:49,
163,3,1066,3197,01,"(52.173435, 21.108046)",2020-12-03 13:00:17,
163,3,1066,3197,02,"(52.173012, 21.107778)",2020-12-03 13:00:17,
163,2,1074,3319,01,"(52.181714, 21.088688)",2020-12-03 13:00:42,
163,2,1074,3319,02,"(52.181554, 21.088954)",2020-12-03 13:00:42,
154,5,4230,4035,04,"(52.192093, 20.978473)",2020-12-03 13:00:41,
154,3,4247,5033,01,"(52.239704, 20.919226)",2020-12-03 13:00:42,
160,7,5439,7088,02,"(52.234479, 20.997964)",2020-12-03 13:00:43,
158,8,8415,4001,03,"(52.225006, 20.990644)",2020-12-03 13:00:39,
158,7,8525,2131,01,"(52.237973, 21.049968)",2020-12-03 13:00:33,
157,1,9439,4001,03,"(52.225006, 20.990644)",2020-12-03 13:00:44,
157,6,9443,7021,02,"(52.25395, 20.994577)",2020-12-03 13:00:41,
159,1,9533,3060,01,"(52.196257, 21.052439)",2020-12-03 13:00:45,
159,4,9535,7089,02,"(52.222992, 21.005983)",2020-12-03 13:00:42,
183,3,1845,2011,01,"(52.24262, 21.101188)",2020-12-03 13:00:32,
183,3,1845,2011,02,"(52.242532, 21.100668)",2020-12-03 13:00:32,
183,6,4428,2070,02,"(52.255724, 21.156898)",2020-12-03 13:00:17,
183,6,4428,2070,03,"(52.256217, 21.156983)",2020-12-03 13:00:17,
183,6,4428,2449,01,"(52.255374, 21.158599)",2020-12-03 13:00:17,
